Movie title,Release year,Ratings,User count,Director,Language,IMDB link
Inglourious Basterds,(2009),8.3,"1,210,133",Quentin Tarantino,English German French Italian ,https://www.imdb.com/title/tt0361748/
Good Will Hunting,(1997),8.3,"823,919",Gus Van Sant,English ,https://www.imdb.com/title/tt0119217/
2001: A Space Odyssey,(1968),8.3,"578,404",Stanley Kubrick,English Russian ,https://www.imdb.com/title/tt0062622/
Vertigo,(1958),8.3,"344,647",Alfred Hitchcock,See more ,https://www.imdb.com/title/tt0052357/
Requiem for a Dream,(2000),8.3,"738,918",Darren Aronofsky,See more ,https://www.imdb.com/title/tt0180093/
M - Eine Stadt sucht einen Mörder,(1931),8.3,"136,763",Fritz Lang,See more ,https://www.imdb.com/title/tt0022100/
Dangal,(2016),8.3,"142,392",Nitesh Tiwari,Hindi ,https://www.imdb.com/title/tt5074352/
Capharnaüm,(2018),8.3,"47,259",Nadine Labaki,Arabic Amharic ,https://www.imdb.com/title/tt8267604/
Eternal Sunshine of the Spotless Mind,(2004),8.3,"876,386",Michel Gondry,English ,https://www.imdb.com/title/tt0338013/
Citizen Kane,(1941),8.3,"383,432",Orson Welles,English Italian ,https://www.imdb.com/title/tt0033467/
Jagten,(2012),8.3,"263,823",Thomas Vinterberg,Danish English Polish ,https://www.imdb.com/title/tt2106476/
Full Metal Jacket,(1987),8.3,"648,461",Stanley Kubrick,See more ,https://www.imdb.com/title/tt0093058/
Ladri di biciclette,(1948),8.2,"138,310",Vittorio De Sica,See more ,https://www.imdb.com/title/tt0040522/
North by Northwest,(1959),8.2,"287,235",Alfred Hitchcock,See more ,https://www.imdb.com/title/tt0053125/
A Clockwork Orange,(1971),8.2,"730,547",Stanley Kubrick,See more ,https://www.imdb.com/title/tt0066921/
The Kid,(1921),8.2,"106,450",Charles Chaplin,English None ,https://www.imdb.com/title/tt0012349/
Snatch,(2000),8.2,"757,660",Guy Ritchie,English Russian ,https://www.imdb.com/title/tt0208092/
Singin' in the Rain,(1952),8.2,"209,688",Stanley Donen,See more ,https://www.imdb.com/title/tt0045152/
Scarface,(1983),8.2,"709,774",Brian De Palma,See more ,https://www.imdb.com/title/tt0086250/
Taxi Driver,(1976),8.2,"690,981",Martin Scorsese,See more ,https://www.imdb.com/title/tt0075314/
Amélie,(2001),8.2,"683,293",Jean-Pierre Jeunet,French Russian English ,https://www.imdb.com/title/tt0211915/
Lawrence of Arabia,(1962),8.2,"257,293",David Lean,English Arabic Turkish ,https://www.imdb.com/title/tt0056172/
Toy Story 3,(2010),8.2,"730,802",Lee Unkrich,English Spanish ,https://www.imdb.com/title/tt0435761/
The Sting,(1973),8.2,"232,965",George Roy Hill,See more ,https://www.imdb.com/title/tt0070735/
Ikiru,(1952),8.2,"63,647",Akira Kurosawa,See more ,https://www.imdb.com/title/tt0044741/
Metropolis,(1927),8.2,"153,678",Fritz Lang,German ,https://www.imdb.com/title/tt0017136/
Per qualche dollaro in più,(1965),8.2,"221,681",Sergio Leone,See more ,https://www.imdb.com/title/tt0059578/
Jodaeiye Nader az Simin,(2011),8.2,"210,855",Asghar Farhadi,Persian ,https://www.imdb.com/title/tt1832382/
Double Indemnity,(1944),8.2,"137,052",Billy Wilder,English ,https://www.imdb.com/title/tt0036775/
The Apartment,(1960),8.2,"155,687",Billy Wilder,See more ,https://www.imdb.com/title/tt0053604/
Incendies,(2010),8.2,"138,187",Denis Villeneuve,French Arabic English ,https://www.imdb.com/title/tt1255953/
To Kill a Mockingbird,(1962),8.2,"285,505",Robert Mulligan,English ,https://www.imdb.com/title/tt0056592/
Indiana Jones and the Last Crusade,(1989),8.2,"668,348",Steven Spielberg,English German Greek Arabic ,https://www.imdb.com/title/tt0097576/
Up,(2009),8.2,"899,510",Pete Docter,English ,https://www.imdb.com/title/tt1049413/
L.A. Confidential,(1997),8.2,"515,661",Curtis Hanson,English ,https://www.imdb.com/title/tt0119488/
Heat,(1995),8.2,"554,098",Michael Mann,English Spanish ,https://www.imdb.com/title/tt0113277/
Monty Python and the Holy Grail,(1975),8.2,"485,828",Terry Gilliam,See more ,https://www.imdb.com/title/tt0071853/
Die Hard,(1988),8.2,"759,459",John McTiernan,English German Italian Japanese ,https://www.imdb.com/title/tt0095016/
Rashômon,(1950),8.2,"145,192",Akira Kurosawa,See more ,https://www.imdb.com/title/tt0042876/
Yôjinbô,(1961),8.2,"105,174",Akira Kurosawa,See more ,https://www.imdb.com/title/tt0055630/
Idi i smotri,(1985),8.2,"50,788",Elem Klimov,See more ,https://www.imdb.com/title/tt0091251/
Batman Begins,(2005),8.2,"1,261,865",Christopher Nolan,English Mandarin ,https://www.imdb.com/title/tt0372784/
Bacheha-Ye aseman,(1997),8.2,"60,476",Majid Majidi,Persian ,https://www.imdb.com/title/tt0118849/
Green Book,(2018),8.2,"323,012",Peter Farrelly,English Italian Russian German ,https://www.imdb.com/title/tt6966692/
Der Untergang,(2004),8.2,"320,823",Oliver Hirschbiegel,French English German Russian ,https://www.imdb.com/title/tt0363163/
